5x5
J=1.0;h=0.0;kT=2.7
t E M
7643136 100.0 25.0
7644160 100.0 25.0
7645184 100.0 25.0
7646208 100.0 25.0
7647232 100.0 25.0
7648256 100.0 25.0
7649280 100.0 25.0
7650304 100.0 25.0
7651328 100.0 25.0
7652352 100.0 25.0
7653376 100.0 25.0
7654400 100.0 25.0
7655424 100.0 25.0
7656448 100.0 25.0
7657472 100.0 25.0
7658496 100.0 25.0
7659520 100.0 25.0
7660544 100.0 25.0
7661568 68.0 17.0
7662592 100.0 25.0
7663616 100.0 25.0
7664640 100.0 25.0
7665664 100.0 25.0
7666688 100.0 25.0
7667712 100.0 25.0
7668736 100.0 25.0
7669760 100.0 25.0
7670784 100.0 25.0
7671808 100.0 25.0
7672832 100.0 25.0
7673856 100.0 25.0
7674880 100.0 25.0
7675904 100.0 25.0
7676928 84.0 23.0
7677952 100.0 25.0
7678976 100.0 25.0
7680000 100.0 25.0
7681024 100.0 25.0
7682048 100.0 25.0
7683072 84.0 23.0
7684096 100.0 25.0
7685120 100.0 25.0
7686144 100.0 25.0
7687168 100.0 25.0
7688192 100.0 25.0
7689216 100.0 25.0
7690240 100.0 25.0
7691264 100.0 25.0
7692288 100.0 25.0
7693312 100.0 25.0
7694336 100.0 25.0
7695360 100.0 25.0
7696384 100.0 25.0
7697408 100.0 25.0
7698432 84.0 23.0
7699456 84.0 23.0
7700480 100.0 25.0
7701504 84.0 23.0
7702528 100.0 25.0
7703552 100.0 25.0
7704576 100.0 25.0
7705600 100.0 25.0
7706624 100.0 25.0
7707648 100.0 25.0
7708672 84.0 23.0
7709696 100.0 25.0
7710720 100.0 25.0
7711744 100.0 25.0
7712768 100.0 25.0
7713792 100.0 25.0
7714816 100.0 25.0
7715840 100.0 25.0
7716864 100.0 25.0
7717888 84.0 23.0
7718912 100.0 25.0
7719936 100.0 25.0
7720960 100.0 25.0
7721984 100.0 25.0
7723008 100.0 25.0
7724032 100.0 25.0
7725056 100.0 25.0
7726080 100.0 25.0
7727104 100.0 25.0
7728128 84.0 23.0
7729152 100.0 25.0
7730176 100.0 25.0
7731200 100.0 25.0
7732224 100.0 25.0
7733248 100.0 25.0
7734272 100.0 25.0
7735296 100.0 25.0
7736320 100.0 25.0
7737344 100.0 25.0
7738368 84.0 23.0
7739392 100.0 25.0
7740416 100.0 25.0
7741440 100.0 25.0
7742464 100.0 25.0
7743488 100.0 25.0
7744512 100.0 25.0
7745536 100.0 25.0
7746560 100.0 25.0
7747584 100.0 25.0
7748608 100.0 25.0
7749632 100.0 25.0
7750656 100.0 25.0
7751680 100.0 25.0
7752704 84.0 23.0
7753728 100.0 25.0
7754752 100.0 25.0
7755776 100.0 25.0
7756800 84.0 23.0
7757824 100.0 25.0
7758848 100.0 25.0
7759872 100.0 25.0
7760896 100.0 25.0
7761920 100.0 25.0
7762944 100.0 25.0
7763968 100.0 25.0
7764992 100.0 25.0
7766016 100.0 25.0
7767040 100.0 25.0
7768064 100.0 25.0
7769088 84.0 23.0
7770112 100.0 25.0
7771136 100.0 25.0
7772160 100.0 25.0
7773184 100.0 25.0
7774208 100.0 25.0
7775232 100.0 25.0
7776256 100.0 25.0
7777280 100.0 25.0
7778304 100.0 25.0
7779328 100.0 25.0
7780352 100.0 25.0
7781376 100.0 25.0
7782400 100.0 25.0
7783424 100.0 25.0
7784448 76.0 21.0
7785472 100.0 25.0
7786496 100.0 25.0
7787520 100.0 25.0
7788544 100.0 25.0
7789568 100.0 25.0
7790592 100.0 25.0
7791616 100.0 25.0
7792640 100.0 25.0
7793664 100.0 25.0
7794688 100.0 25.0
7795712 100.0 25.0
7796736 100.0 25.0
7797760 100.0 25.0
7798784 100.0 25.0
7799808 100.0 25.0
7800832 100.0 25.0
7801856 100.0 25.0
7802880 100.0 25.0
7803904 100.0 25.0
7804928 100.0 25.0
7805952 100.0 25.0
7806976 100.0 25.0
7808000 100.0 25.0
7809024 100.0 25.0
7810048 100.0 25.0
7811072 100.0 25.0
7812096 84.0 23.0
7813120 100.0 25.0
7814144 100.0 25.0
7815168 100.0 25.0
7816192 100.0 25.0
7817216 100.0 25.0
7818240 100.0 25.0
7819264 100.0 25.0
7820288 100.0 25.0
7821312 100.0 25.0
7822336 100.0 25.0
7823360 100.0 25.0
7824384 84.0 23.0
7825408 100.0 25.0
7826432 100.0 25.0
7827456 100.0 25.0
7828480 100.0 25.0
7829504 100.0 25.0
7830528 84.0 23.0
7831552 100.0 25.0
7832576 100.0 25.0
7833600 100.0 25.0
7834624 100.0 25.0
7835648 100.0 25.0
7836672 100.0 25.0
7837696 100.0 25.0
7838720 100.0 25.0
7839744 100.0 25.0
7840768 100.0 25.0
7841792 100.0 25.0
7842816 100.0 25.0
7843840 100.0 25.0
7844864 100.0 25.0
7845888 100.0 25.0
7846912 100.0 25.0
7847936 100.0 25.0
7848960 100.0 25.0
7849984 100.0 25.0
7851008 100.0 25.0
7852032 100.0 25.0
7853056 100.0 25.0
7854080 100.0 25.0
7855104 100.0 25.0
7856128 100.0 25.0
7857152 100.0 25.0
